Network,Station,CoveredEpicentralDistances,UncoveredEpicentralDistances,EpiDistRatio,Accepted,faceLon,faceLat,AcceptedNumeric,nrec,BazRatio,AvgSNR
CC,CRST,2,59,0.0327868852459016,Yes,-121.7,43.5,1,2,0.0055401662049861,7.88874593188562
CC,HIYU,11,50,0.180327868852459,No,-121.8,45.4,0,15,0.0304709141274238,13.2242033991483
CC,HUSB,20,41,0.327868852459016,No,-121.8,44.1,0,24,0.0554016620498615,14.2253126742718
CC,JRO,25,36,0.409836065573771,No,-122.2,46.3,0,40,0.074792243767313,13.49478151095
CC,KWBU,7,54,0.114754098360656,No,-121.3,43.8,0,8,0.0166204986149584,11.1070398542158
CC,LOO,3,58,0.0491803278688525,No,-122.2,46.2,0,3,0.0083102493074792,14.9452293050106
CC,LSON,11,50,0.180327868852459,Yes,-121.6,45.4,1,12,0.0304709141274238,15.335630926727
CC,MAR,2,59,0.0327868852459016,No,-122.3,46.3,0,3,0.0055401662049861,8.28213235370451
CC,NFT,8,53,0.131147540983607,No,-122.3,46.3,0,9,0.0221606648199446,12.6772283185802
CC,NORM,15,46,0.245901639344262,No,-121.3,43.7,0,25,0.0443213296398892,14.261517868637
CC,OBSR,47,14,0.770491803278688,No,-121.8,46.9,0,148,0.160664819944598,13.8555766117441
CC,OPCH,6,55,0.0983606557377049,No,-121.6,46.7,0,7,0.0138504155124654,7.00594688896794
CC,PALM,14,47,0.229508196721311,No,-121.7,45.4,0,16,0.0332409972299169,9.41372932626086
CC,PANH,35,26,0.573770491803279,No,-121.6,46.9,0,60,0.113573407202216,11.0721869353677
CC,PARA,9,52,0.147540983606557,No,-121.7,46.8,0,11,0.0249307479224377,10.9434748131449
CC,PR01,9,52,0.147540983606557,Yes,-122.0,46.9,1,12,0.0277008310249307,13.1474989246538
CC,PR02,16,45,0.262295081967213,No,-122.0,46.9,0,18,0.0470914127423823,18.539880621142
CC,PR03,14,47,0.229508196721311,No,-122.0,46.9,0,16,0.038781163434903,15.6007046213454
CC,PR04,42,19,0.688524590163934,No,-122.0,46.9,0,69,0.110803324099723,15.7369257944941
CC,PR05,36,25,0.590163934426229,No,-121.9,46.8,0,67,0.105263157894737,16.2633364293256
CC,PRLK,25,36,0.409836065573771,No,-122.0,44.2,0,37,0.0803324099722992,10.8616977293254
CC,REM,8,53,0.131147540983607,No,-122.2,46.2,0,8,0.0193905817174515,10.2772586825602
CC,RUSH,22,39,0.360655737704918,No,-121.9,46.9,0,27,0.0581717451523546,17.0757446893714
CC,SEP,35,26,0.573770491803279,No,-122.2,46.2,0,57,0.105263157894737,11.6479402536371
CC,SHRK,29,32,0.475409836065574,No,-121.5,45.5,0,38,0.0692520775623269,12.9764199245396
CC,SIFT,23,38,0.377049180327869,No,-122.0,46.9,0,36,0.0664819944598338,11.2733944927645
CC,STD,36,25,0.590163934426229,No,-122.2,46.2,0,67,0.124653739612188,13.7027407707369
CC,STYX,4,57,0.0655737704918033,No,-122.1,47.0,0,4,0.0110803324099723,9.20167131269996
CC,SUG,26,35,0.426229508196721,No,-122.2,46.2,0,34,0.0664819944598338,10.7299985273524
CC,SVIC,7,54,0.114754098360656,No,-121.3,43.6,0,10,0.0249307479224377,7.2058877174439
CC,SWF2,27,34,0.442622950819672,No,-122.2,46.2,0,49,0.0858725761772853,12.3504303150807
CC,SWFL,22,39,0.360655737704918,Yes,-122.2,46.2,1,29,0.0554016620498615,13.1378758611782
CC,SWNB,33,28,0.540983606557377,No,-121.4,43.7,0,51,0.102493074792244,14.2083981981539
CC,TCBU,25,36,0.409836065573771,No,-121.7,44.2,0,32,0.07202216066482,13.1455707614265
CC,TIMB,20,41,0.327868852459016,No,-121.7,45.3,0,23,0.0526315789473684,12.4586016606028
CC,TMBU,20,41,0.327868852459016,No,-121.1,43.6,0,22,0.0526315789473684,13.9663929194298
CC,TRON,5,56,0.0819672131147541,No,-122.2,47.0,0,6,0.0138504155124654,6.77277388088345
